,carat,cut,color,clarity,depth,table,x,y,z,price_predicted,cut_value
37,1.03,Ideal,F,VS2,60.4,56.0,6.59,6.56,3.97,6490.505544310858,0
38,0.32,Ideal,D,SI1,61.3,55.0,4.41,4.46,2.72,800.7569457122772,0
39,0.3,Premium,J,VS1,62.6,58.0,4.32,4.27,2.69,295.60296293747524,0
40,0.32,Very Good,D,VVS2,60.1,58.0,4.41,4.44,2.66,1089.497650630161,0
41,0.33,Ideal,G,VS1,61.7,56.0,4.44,4.47,2.75,802.6259119877068,0
42,0.25,Ideal,G,VS1,62.7,54.0,4.05,4.08,2.55,788.5725896878503,0
43,0.3,Ideal,F,VS1,61.0,56.0,4.37,4.35,2.66,580.4402379861058,0
44,1.26,Very Good,F,IF,60.0,60.0,7.04,7.09,4.24,14518.122234118466,0
45,1.14,Ideal,J,VS1,61.6,56.0,6.71,6.73,4.14,5134.881985868564,0
46,1.51,Premium,H,SI1,62.8,60.0,7.22,7.14,4.51,9743.454685275785,0
47,0.51,Very Good,E,SI2,62.0,57.0,5.09,5.13,3.17,1155.5458073568989,0
48,0.32,Ideal,G,IF,61.0,57.0,4.44,4.48,2.72,815.1574168998122,0
49,0.94,Premium,E,SI2,60.4,59.0,6.37,6.34,3.84,3692.99431707467,0
50,0.51,Premium,E,VS2,60.6,58.0,5.15,5.12,3.11,1589.9530245002388,0
51,1.12,Ideal,H,SI2,61.4,56.0,6.69,6.66,4.1,5102.739927554743,0
52,1.33,Premium,G,SI2,60.3,58.0,7.19,7.16,4.33,6696.849401015883,0
53,0.32,Premium,H,VS2,61.7,59.0,4.35,4.4,2.7,286.6380376334728,0
54,0.7,Ideal,E,VS2,62.6,57.0,5.63,5.68,3.54,3200.5651756471925,0
55,1.35,Ideal,H,VVS1,61.9,57.0,7.06,7.09,4.38,10171.86987724734,0
56,0.23,Good,F,VS2,63.8,57.0,3.93,3.84,2.48,464.337044973945,1
57,0.9,Very Good,F,I1,61.9,59.0,6.16,6.18,3.82,2277.9083281760977,0
58,1.03,Ideal,D,SI1,61.3,56.0,6.48,6.54,3.99,6003.548223425903,0
59,1.02,Good,E,SI2,62.8,64.0,6.36,6.32,3.98,4153.642204249525,1
60,0.55,Ideal,H,VVS2,61.7,57.0,5.28,5.26,3.25,1656.3887285920282,0
61,0.34,Ideal,E,IF,61.7,56.0,4.46,4.48,2.76,1331.2566676453353,0
62,0.71,Premium,D,VVS2,60.0,58.0,5.92,5.84,3.53,4178.161670868605,0
63,0.55,Good,G,SI1,63.6,61.0,5.22,5.16,3.3,907.273294290284,1
64,0.54,Ideal,G,VS2,61.5,55.0,5.24,5.27,3.23,1825.7758268508205,0
65,1.23,Ideal,H,IF,61.3,57.0,6.87,6.92,4.23,9266.2011504352,0
66,0.27,Premium,E,VVS1,60.6,58.0,4.18,4.2,2.54,809.7982890213534,0
67,0.53,Ideal,D,VS2,61.4,56.0,5.18,5.21,3.19,1966.963297619899,0
68,1.25,Ideal,G,SI2,61.1,55.0,6.95,6.99,4.26,6328.147910575579,0
69,0.34,Ideal,E,VVS2,62.3,57.0,4.48,4.44,2.78,659.4841497299567,0
70,0.36,Premium,I,VS2,62.7,59.0,4.54,4.58,2.86,355.83831645178725,0
71,0.34,Ideal,G,SI1,61.2,57.0,4.56,4.53,2.78,441.7065115012556,0
72,1.12,Good,E,SI1,64.3,57.0,6.56,6.5,4.2,6048.548384458914,1
73,0.3,Ideal,H,VS1,61.6,55.0,4.27,4.3,2.64,986.6896264428251,0
74,0.36,Ideal,D,SI1,62.0,56.0,4.61,4.55,2.84,580.8667095312594,0
75,0.71,Ideal,F,VVS1,61.1,54.0,5.78,5.84,3.55,4700.808335870264,0
76,0.32,Premium,G,VS2,62.6,60.0,4.33,4.36,2.72,118.70961044287833,0
77,0.5,Premium,E,VS2,61.3,60.0,5.11,5.07,3.12,1246.7787185904817,0
78,0.51,Very Good,E,SI1,63.3,59.0,5.09,5.05,3.21,1031.1015375360912,0
79,0.58,Ideal,J,VS1,61.9,58.0,5.31,5.35,3.3,1273.3888401384174,0
80,0.3,Ideal,F,IF,62.5,54.0,4.31,4.33,2.7,788.9737804667384,0
81,0.39,Ideal,G,VVS1,62.3,57.0,4.7,4.64,2.91,891.3147872918962,0
82,0.31,Ideal,F,VS2,61.8,56.0,4.37,4.33,2.69,648.7421224549107,0
83,0.9,Very Good,H,VS1,60.5,63.0,6.13,6.16,3.72,4360.465782995463,0
84,0.81,Premium,G,SI2,61.7,57.0,5.99,5.94,3.68,2560.729390019649,0
85,0.7,Premium,E,SI2,61.1,61.0,5.74,5.69,3.49,1799.9067070816564,0
86,0.38,Very Good,J,VS2,60.5,60.0,4.64,4.68,2.82,608.6535506227665,0
87,0.71,Very Good,G,SI1,60.0,59.0,5.76,5.8,3.47,2441.0230380604735,0
88,0.71,Very Good,D,VS2,63.1,58.0,5.67,5.7,3.59,3242.2423135210265,0
89,0.9,Very Good,H,VS1,62.1,59.0,6.09,6.14,3.8,4450.107514831867,0
90,0.74,Very Good,F,SI2,63.2,58.0,5.75,5.71,3.62,2114.53035133893,0
91,1.5,Premium,H,VS2,62.4,59.0,7.32,7.29,4.56,9985.007257306064,0
92,1.5,Very Good,F,SI1,63.0,55.0,7.27,7.31,4.59,10861.27552882894,0
93,0.42,Ideal,F,VS1,61.0,57.0,4.87,4.84,2.96,801.6951502940719,0
94,1.01,Premium,G,VS2,61.6,58.0,6.45,6.4,3.96,6148.265797678419,0
95,2.48,Premium,I,SI2,63.0,62.0,8.62,8.58,5.42,16402.434771301632,0
96,1.02,Ideal,F,VVS2,61.1,56.3,6.48,6.52,3.97,8548.359563632821,0
97,0.4,Ideal,D,VS2,61.3,57.0,4.77,4.75,2.92,881.4546821973781,0
98,0.7,Ideal,F,SI1,61.3,57.0,5.76,5.79,3.54,2197.7633742747894,0
99,1.01,Good,E,VS2,62.5,58.0,6.32,6.36,3.96,6311.353217638154,1
100,1.13,Very Good,I,VS2,60.7,58.0,6.72,6.75,4.09,5472.805286658593,0
101,1.09,Ideal,I,VS2,61.9,56.0,6.62,6.67,4.09,4985.92710144553,0
102,0.7,Very Good,E,VS2,62.7,58.0,5.65,5.67,3.55,3005.1870231043868,0
103,1.0,Premium,F,SI1,60.8,59.0,6.44,6.38,3.9,5041.502427472122,0
104,1.52,Ideal,H,VS2,61.8,54.0,7.42,7.43,4.59,10246.600781845822,0
105,0.41,Ideal,G,VVS2,62.2,56.0,4.75,4.8,2.97,1092.3723347258492,0
106,0.43,Very Good,J,VS2,60.9,59.0,4.86,4.9,2.97,597.2754729109583,0
107,0.31,Very Good,E,SI2,60.8,61.0,4.39,4.43,2.68,475.6433602103825,0
108,0.33,Ideal,G,VS2,62.2,56.0,4.47,4.44,2.77,192.08005989537924,0
109,0.7,Premium,E,VS2,61.0,59.0,5.74,5.7,3.49,2908.091514169708,0
110,0.33,Ideal,G,VVS2,62.5,54.0,4.41,4.45,2.77,852.2137001472729,0
111,1.16,Premium,H,SI2,62.6,57.0,6.75,6.67,4.2,5247.264339961812,0
112,0.51,Ideal,E,VS2,61.8,57.0,5.15,5.14,3.18,1348.1491061685301,0
113,1.13,Good,G,I1,63.4,58.0,6.58,6.61,4.18,2671.341500798084,1
114,0.52,Premium,E,VS2,62.5,60.0,5.1,5.14,3.2,1469.7782967488092,0
115,0.23,Very Good,F,VVS2,61.4,56.0,3.94,3.97,2.43,852.0304432543635,0
116,0.5,Fair,F,SI1,64.7,60.0,4.99,4.84,3.18,758.9941671258348,1
117,1.08,Very Good,D,VS1,60.5,58.0,6.53,6.63,3.98,9519.86201690467,0
118,0.3,Premium,G,VS1,62.2,59.0,4.31,4.28,2.67,409.9964527164775,0
119,0.48,Ideal,J,VS1,62.2,54.0,5.01,5.06,3.13,943.315479027704,0
120,1.51,Ideal,J,VS1,61.6,58.0,7.35,7.43,4.55,8456.399297738539,0
121,1.03,Premium,F,SI2,62.4,59.0,6.45,6.38,4.0,4484.21060740057,0
122,0.31,Very Good,G,VVS2,63.4,59.0,4.29,4.26,2.71,490.10759426275763,0
123,0.4,Ideal,G,IF,62.3,55.0,4.74,4.76,2.96,1142.8289470247328,0
124,1.03,Ideal,E,VS2,61.7,56.0,6.45,6.54,4.01,7141.994659374264,0
125,1.16,Premium,J,SI1,62.5,58.0,6.73,6.67,4.19,4444.398234752942,0
126,1.04,Very Good,J,SI2,62.8,57.0,6.44,6.5,4.06,3542.8516898695634,0
127,0.71,Premium,E,VS2,61.5,60.0,5.76,5.68,3.52,2849.550773637231,0
128,0.29,Very Good,H,VVS2,61.2,56.0,4.26,4.29,2.61,708.5145395153122,0
129,1.09,Ideal,G,SI2,61.2,57.0,6.68,6.63,4.07,4608.63382707,0
130,0.74,Ideal,F,VS1,62.3,56.0,5.76,5.79,3.6,3776.328014126171,0
131,0.42,Ideal,D,VS2,62.4,55.0,4.82,4.8,3.0,999.2362817773464,0
132,0.54,Ideal,I,SI1,62.0,55.0,5.21,5.25,3.24,1089.0036058316691,0
133,0.51,Ideal,E,VS2,62.6,55.0,5.08,5.11,3.19,1638.1684891527912,0
134,1.01,Premium,F,SI2,58.8,61.0,6.53,6.46,3.82,4412.904509857559,0
135,1.0,Premium,H,VS2,59.4,61.0,6.51,6.46,3.85,5133.483114017884,0
136,1.02,Premium,H,VS2,61.0,60.0,6.5,6.46,3.95,5302.192777284959,0
137,0.73,Good,E,VS1,60.8,61.0,5.77,5.8,3.52,3662.931067971498,1
138,1.01,Premium,H,SI2,60.3,59.0,6.51,6.45,3.91,4020.7779047680942,0
139,0.33,Good,D,SI1,63.1,55.0,4.38,4.4,2.77,751.01251716962,1
140,1.22,Ideal,F,VS1,62.3,57.0,6.79,6.83,4.24,10303.33229365613,0
141,0.31,Ideal,D,VS1,62.0,54.0,4.35,4.36,2.7,874.0478820527569,0
142,1.07,Premium,G,SI1,60.5,62.0,6.69,6.6,4.02,4865.621214056817,0
143,1.01,Very Good,E,VVS2,60.2,60.0,6.46,6.5,3.9,8968.057026426428,0
144,0.23,Very Good,F,IF,59.5,58.0,4.0,4.03,2.39,961.5024417327659,0
145,0.35,Very Good,D,VS1,60.9,58.0,4.54,4.56,2.77,862.5368908559904,0
146,0.55,Ideal,F,VVS2,60.7,56.0,5.31,5.34,3.23,2330.4754755778995,0
147,0.9,Ideal,G,SI1,61.9,59.0,6.16,6.19,3.82,3815.3047779357366,0
148,0.72,Ideal,G,VVS1,62.2,57.0,5.72,5.75,3.57,3945.5696617467547,0
149,0.83,Very Good,E,SI1,63.5,58.0,5.93,5.98,3.78,3683.9312590942172,0
150,1.04,Ideal,H,SI1,61.9,57.0,6.49,6.46,4.01,4820.156327032128,0
151,0.71,Very Good,E,VS2,59.9,59.0,5.77,5.81,3.47,3273.887886995486,0
152,0.43,Ideal,F,SI1,61.3,56.0,4.9,4.86,2.99,766.5421649716482,0
153,0.33,Ideal,E,VS2,61.3,55.0,4.46,4.48,2.74,880.0228928950164,0
154,1.72,Fair,D,SI2,64.6,58.0,7.53,7.46,4.84,11074.831835858851,1
155,1.13,Ideal,G,SI1,61.8,55.0,6.71,6.75,4.16,6042.979427148039,0
156,0.52,Ideal,D,SI1,62.4,56.0,5.12,5.17,3.21,1512.4348388131584,0
157,0.3,Very Good,G,VS1,62.5,55.0,4.25,4.32,2.68,924.155338052231,0
158,1.53,Premium,G,VS1,61.0,60.0,7.43,7.4,4.52,13298.991818147042,0
159,2.02,Fair,H,SI2,56.5,61.0,8.33,8.37,4.72,12850.513792913047,1
160,0.33,Premium,H,VS1,61.0,59.0,4.5,4.45,2.73,445.636969232728,0
161,0.7,Very Good,G,I1,61.5,63.0,5.73,5.65,3.5,1260.8830294594213,0
162,1.26,Premium,I,SI1,60.5,62.0,6.97,6.92,4.2,6106.302356110507,0
163,0.3,Premium,D,VS2,62.5,59.0,4.28,4.23,2.66,563.4879045301641,0
164,0.59,Very Good,H,VS1,62.1,55.0,5.37,5.41,3.35,1877.9059256806613,0
165,0.82,Ideal,E,SI1,62.1,55.0,5.98,6.0,3.72,3705.37228045709,0
166,0.39,Very Good,G,VVS2,60.7,61.0,4.7,4.73,2.86,957.3746955343704,0
167,0.31,Ideal,H,IF,62.1,54.0,4.33,4.37,2.7,908.0607407492353,0
168,1.26,Ideal,I,SI2,62.0,56.0,7.0,6.94,4.32,5378.956832041826,0
169,1.51,Very Good,F,SI2,62.7,60.0,7.25,7.32,4.57,8979.611549083445,0
170,0.56,Ideal,G,VS1,60.6,56.0,5.33,5.36,3.24,1956.647678327543,0
171,0.31,Ideal,G,VVS1,62.5,55.0,4.34,4.33,2.71,750.0088127029194,0
172,0.56,Ideal,H,VVS2,60.9,57.0,5.38,5.33,3.26,1596.1294740735793,0
173,0.96,Premium,E,SI2,58.2,58.0,6.52,6.47,3.78,4004.255590416651,0
174,0.52,Very Good,E,SI1,62.7,57.0,5.1,5.14,3.21,1400.3146764686498,0
175,1.02,Very Good,H,SI1,63.5,55.0,6.31,6.35,4.02,4878.465980600318,0
176,1.06,Good,I,VS1,57.5,62.0,6.71,6.83,3.9,4775.702891816352,1
177,1.21,Ideal,H,SI1,62.1,59.0,6.81,6.75,4.21,6362.613824612363,0
178,2.02,Fair,H,VS2,64.5,57.0,8.0,7.95,5.14,15914.665595227223,1
179,1.52,Ideal,G,VS2,62.1,56.0,7.39,7.34,4.57,11839.362265509273,0
180,2.03,Very Good,I,SI2,62.8,59.0,8.04,8.08,5.06,12308.141055860578,0
181,0.28,Good,F,VVS2,61.2,62.0,4.16,4.21,2.56,1005.3023433802191,1
182,0.7,Fair,G,VS1,65.8,61.0,5.61,5.46,3.64,2708.6358609229774,1
183,0.7,Ideal,G,VVS1,62.3,57.0,5.61,5.65,3.51,3974.664697111879,0
184,2.32,Fair,H,I1,70.5,55.0,7.93,7.9,5.58,7100.019169229152,1
185,0.58,Ideal,J,VS2,60.9,57.0,5.38,5.4,3.28,1142.0752229973477,0
186,0.54,Ideal,D,VS1,61.6,54.0,5.24,5.25,3.23,2128.610373704825,0
187,1.2,Very Good,I,SI1,62.9,54.0,6.75,6.77,4.25,5868.677659636167,0
188,0.52,Very Good,F,VS2,62.4,57.0,5.12,5.13,3.2,1450.3439769301476,0
189,1.57,Premium,F,SI2,60.2,60.0,7.49,7.43,4.49,9634.47118074668,0
190,0.7,Premium,I,I1,62.3,58.0,5.69,5.55,3.51,808.462810061168,0
191,1.57,Very Good,H,SI1,62.0,60.0,7.4,7.44,4.6,10284.767277805193,0
192,1.02,Very Good,D,VS2,63.2,58.0,6.4,6.36,4.03,6983.342906403937,0
193,1.5,Premium,F,VS2,62.4,57.0,7.38,7.29,4.58,13061.442361668567,0
194,0.7,Very Good,E,VS1,62.7,60.0,5.59,5.64,3.52,3530.0332862610085,0
195,0.42,Premium,F,SI1,60.6,58.0,4.89,4.81,2.94,649.4152799419717,0
196,2.01,Premium,H,SI1,60.0,60.0,8.16,8.13,4.89,15474.352400514152,0
197,0.31,Premium,G,VS1,62.2,58.0,4.38,4.34,2.71,371.34194706296694,0
198,0.44,Ideal,E,VVS2,61.9,56.0,4.91,4.88,3.03,1267.8076331735283,0
199,0.7,Ideal,D,VVS2,61.7,55.0,5.73,5.75,3.54,4729.229032945535,0
200,1.2,Premium,J,SI1,60.0,61.0,6.89,6.84,4.12,4735.572872503173,0
201,1.05,Ideal,G,VS1,62.2,57.0,6.49,6.51,4.04,6942.274558588146,0
202,0.7,Ideal,F,I1,62.1,57.0,5.67,5.64,3.52,1644.655979254112,0
203,0.53,Premium,F,SI1,60.9,59.0,5.21,5.23,3.18,1251.6622693474565,0
204,1.09,Premium,H,SI2,61.2,62.0,6.63,6.58,4.04,4386.589535304403,0
205,0.92,Premium,E,SI2,61.8,59.0,6.19,6.11,3.8,3733.6811389690556,0
206,0.71,Premium,F,VS2,58.0,62.0,5.85,5.81,3.38,2924.5904969212424,0
207,0.57,Good,F,SI2,61.9,57.7,5.32,5.34,3.3,911.0921425579018,1
208,0.71,Very Good,G,VS2,63.5,59.0,5.67,5.63,3.59,2978.0288229386533,0
209,0.89,Premium,G,SI1,61.1,58.0,6.24,6.17,3.79,3575.2482079497677,0
210,1.06,Ideal,G,SI1,62.9,56.0,6.52,6.49,4.09,5226.083184143983,0
211,0.86,Premium,H,SI2,61.0,58.0,6.15,6.12,3.74,2890.4313145049164,0
212,1.1,Premium,G,VS2,60.2,58.0,6.75,6.71,4.05,7066.6710460166,0
213,0.7,Ideal,E,SI1,62.5,57.0,5.7,5.72,3.57,2388.337540239696,0
214,1.04,Premium,G,VS1,61.5,61.0,6.56,6.51,4.02,6251.327849586807,0
215,0.93,Premium,E,I1,62.3,60.0,6.23,6.2,3.87,2831.809701384578,0
216,1.1,Premium,F,I1,59.8,61.0,6.7,6.65,3.99,3165.978902729912,0
217,2.12,Premium,H,SI2,62.3,58.0,8.25,8.16,5.12,13604.595304585153,0
218,0.33,Ideal,F,VVS1,62.4,55.0,4.44,4.47,2.78,799.6148868732489,0
219,0.9,Fair,I,VS2,65.8,55.0,6.05,6.01,3.97,2817.141722322878,1
220,0.71,Ideal,E,VS1,62.0,57.0,5.72,5.66,3.53,3414.504392024566,0
221,1.75,Ideal,G,VS2,62.1,57.0,7.73,7.69,4.79,14546.55235676857,0
222,0.81,Ideal,H,SI1,61.4,56.0,6.0,6.05,3.7,2926.664467900704,0
223,0.75,Good,I,VVS1,63.9,61.0,5.7,5.67,3.63,2789.2073768799855,1
224,0.4,Ideal,G,VS2,62.6,56.0,4.69,4.74,2.95,706.6997796792202,0
225,0.34,Ideal,G,VS2,62.1,55.0,4.49,4.46,2.78,358.4835722316566,0
226,0.35,Premium,F,VS2,61.8,58.0,4.48,4.52,2.78,882.8373076142816,0
227,1.29,Very Good,I,VS2,62.8,58.0,6.89,6.93,4.34,7078.872823787733,0
228,1.7,Premium,G,SI1,61.7,58.0,7.69,7.6,4.72,12134.805335074332,0
229,1.01,Premium,F,SI1,62.7,54.0,6.42,6.37,4.01,5202.903254066001,0
230,0.47,Good,D,SI1,63.8,59.0,4.9,4.88,3.12,983.0669690965879,1
231,0.71,Premium,E,SI1,59.2,59.0,5.86,5.83,3.46,2449.796247509101,0
232,1.01,Ideal,G,VS1,61.3,56.0,6.49,6.44,3.96,6332.560199234082,0
233,0.92,Good,J,SI2,59.0,63.0,6.3,6.35,3.73,2647.5784563938105,1
234,0.31,Ideal,F,VVS1,61.6,55.0,4.36,4.41,2.7,903.6847578556262,0
235,0.3,Ideal,G,VVS1,61.3,56.0,4.3,4.34,2.65,920.2654316850203,0
236,0.7,Very Good,G,SI1,62.1,58.0,5.66,5.7,3.53,2248.4153876986165,0
237,1.01,Premium,H,IF,62.1,59.0,6.47,6.41,4.0,6283.747525840812,0
238,1.5,Very Good,H,SI2,62.5,60.0,7.25,7.32,4.55,8032.749067745708,0
239,0.9,Very Good,D,VS1,62.2,58.0,6.14,6.18,3.83,6335.981449772786,0
240,0.23,Good,F,VVS2,62.8,61.0,3.92,3.95,2.47,681.5314121410993,1
241,0.25,Good,E,VVS2,58.0,65.0,4.13,4.18,2.41,889.1314463169365,1
242,0.35,Ideal,F,VVS2,62.1,56.0,4.56,4.52,2.82,566.3990365550999,0
243,0.73,Very Good,D,SI2,60.4,59.0,5.8,5.86,3.52,2392.0772324615937,0
244,0.4,Very Good,G,IF,61.2,57.0,4.77,4.79,2.92,1144.4855003195516,0
245,0.3,Ideal,E,VS2,61.5,55.0,4.33,4.29,2.65,785.2199548808203,0
246,1.01,Premium,J,VVS2,62.7,59.0,6.46,6.39,4.03,3614.0739959477614,0
247,0.51,Ideal,D,SI2,62.5,55.0,5.12,5.15,3.21,1205.0310576352094,0
248,1.72,Premium,F,I1,60.1,58.0,7.77,7.74,4.66,7224.794943351182,0
249,0.51,Good,E,SI1,64.3,54.0,5.1,5.07,3.27,998.9920213880323,1
250,0.7,Ideal,E,VS1,62.2,58.0,5.67,5.71,3.54,3320.251543954888,0
251,0.52,Good,H,VS2,63.6,57.0,5.05,5.1,3.23,1166.5502743195866,1
252,1.01,Premium,F,SI2,62.2,59.0,6.41,6.38,3.98,4335.254265506288,0
253,0.31,Ideal,F,VS2,62.1,57.0,4.34,4.36,2.7,661.3886211010467,0
254,1.01,Good,G,SI1,63.6,57.0,6.33,6.37,4.04,4442.679709218766,1
255,1.24,Good,E,SI1,63.5,55.0,6.82,6.86,4.35,7503.2010733391835,1
256,1.01,Very Good,I,SI1,60.1,59.0,6.44,6.47,3.88,4313.687391793348,0
257,1.05,Ideal,G,VS2,61.9,57.0,6.47,6.51,4.03,6710.977896243883,0
258,0.9,Good,G,SI1,63.7,60.0,6.11,6.07,3.88,3384.2391747922993,1
259,0.56,Ideal,E,VS2,61.6,57.0,5.3,5.32,3.27,1817.977359928038,0
260,0.8,Very Good,F,SI1,61.6,56.0,5.96,6.0,3.68,3261.727483013321,0
261,0.3,Ideal,D,SI1,62.5,57.0,4.32,4.29,2.69,465.50822872975914,0
262,0.76,Ideal,H,VS2,62.7,57.0,5.82,5.86,3.66,3128.640224653038,0
263,1.21,Premium,H,SI1,59.8,58.0,6.95,6.9,4.14,6455.107484730179,0
264,1.51,Very Good,J,VS1,61.4,57.0,7.3,7.38,4.51,8719.235871070072,0
265,1.21,Ideal,H,VVS2,61.3,56.0,6.85,6.89,4.21,8003.628073490967,0
266,0.7,Ideal,F,SI1,61.5,57.0,5.67,5.74,3.51,2539.3770241119746,0
267,0.53,Ideal,I,VS2,62.2,56.0,5.15,5.2,3.22,1116.7956184169234,0
268,0.46,Ideal,E,VS1,61.9,55.0,4.94,4.97,3.06,1368.381490783635,0
269,0.41,Ideal,G,IF,61.7,56.0,4.79,4.81,2.96,1231.42131563566,0
270,0.37,Very Good,F,VS2,61.0,58.0,4.61,4.63,2.82,874.6761367415456,0
271,0.58,Ideal,F,SI2,60.9,57.0,5.4,5.44,3.3,1177.9708551079493,0
272,0.72,Premium,F,SI1,59.5,62.0,5.85,5.74,3.45,2289.513648690412,0
273,1.5,Good,G,SI1,58.4,65.0,7.45,7.41,4.34,9601.249779640577,1
274,1.31,Very Good,H,VS2,61.4,59.0,6.96,7.01,4.29,8259.521527013021,0
275,1.0,Very Good,D,SI1,62.1,58.0,6.34,6.45,3.97,5753.548758724766,0
276,0.41,Premium,G,VVS1,60.3,60.0,4.78,4.74,2.87,1290.7263907497545,0
277,0.38,Ideal,F,VVS1,61.0,57.0,4.67,4.71,2.86,1154.8291028766616,0
278,0.35,Premium,E,VVS1,60.7,59.0,4.58,4.55,2.77,713.1565078854837,0
279,0.3,Premium,D,VS2,61.7,58.0,4.32,4.3,2.66,622.4385035213709,0
280,1.13,Ideal,I,VS1,61.6,54.0,6.72,6.74,4.15,5937.067450950322,0
281,0.37,Premium,E,VVS2,60.9,59.0,4.61,4.65,2.82,1026.4443984254394,0
282,0.39,Premium,G,VVS2,60.7,61.0,4.73,4.7,2.86,815.7635473542359,0
283,0.5,Good,D,SI1,63.9,56.0,5.02,4.93,3.18,1182.9517314465338,1
284,0.31,Ideal,E,VS2,61.5,56.0,4.39,4.42,2.71,647.2917126266693,0
285,1.72,Good,D,SI2,63.4,62.0,7.53,7.59,4.79,11146.082951922552,1
286,1.27,Ideal,H,SI1,59.8,57.0,7.08,7.01,4.22,7041.831969332685,0
287,1.0,Good,D,VS2,62.8,61.0,6.31,6.34,3.97,6175.269515506185,1
288,1.59,Premium,I,VS2,59.9,60.0,7.61,7.57,4.55,10046.205858157446,0
289,0.38,Very Good,F,VS2,60.9,56.0,4.67,4.72,2.86,960.3238623703728,0
290,2.39,Ideal,J,VS1,62.1,57.0,8.53,8.57,5.31,17752.13499676131,0
291,1.01,Premium,F,SI1,62.2,59.0,6.36,6.41,3.97,5244.3809227165875,0
292,0.31,Premium,H,VVS1,62.6,58.0,4.33,4.29,2.7,625.5230058536908,0
293,2.05,Ideal,J,VS1,61.8,58.0,8.12,8.16,5.03,13989.10410699021,0
294,0.7,Good,F,SI1,61.1,61.0,5.68,5.71,3.48,2248.0231812375314,1
295,1.01,Fair,I,I1,56.1,63.0,6.7,6.65,3.74,2196.0845344430736,1
296,1.55,Very Good,H,VS2,63.3,56.0,7.38,7.32,4.65,10537.449832243752,0
